"Gene","Global","Intra","CellType"
"CCDC88B",0.863912501507522,0.653908527737553,"macrophage"
"CCDC88C",1.18248490014928,0.147876926254574,"macrophage"
"CCL3",0.468902598380955,1.05555324143798,"macrophage"
"CCR1",0.24235972198859,0.177568318458939,"macrophage"
"CCR2",2062823019476938,15028286788217040,"macrophage"
"CD14",0.465011275091843,3856375068.17472,"macrophage"
"CD163",0.44012172874662,6315782438.56926,"macrophage"
"CD180",0.119935956698142,6508512937616509,"macrophage"
"CD1D",0.17602559663429,19368360356.5508,"macrophage"
"CD244",35483798227162964,1427441664.08781,"macrophage"
"CD247",3893001104746554,NA,"macrophage"
"CD300A",0.285978325654562,0.339629347066837,"macrophage"
"CD300C",0.0691765493538514,75680507.6737299,"macrophage"
"CD302",0.572371120407673,23808438.284559,"macrophage"
"CD33",0.231689512869807,0.593809212143172,"macrophage"
"CD38",0.129388563926548,0.0410660817805084,"macrophage"
"CD68",0.20044368168177,3.24155580654776,"macrophage"
"CD7",0.157833751856796,0.00671242780176644,"macrophage"
"CD79B",0.227893900802854,0.0447347914526878,"macrophage"
"CDK11A",0.445954602122281,0.132637957114939,"macrophage"
"CDK5RAP3",0.13812781766058,2100774549363467,"macrophage"
"CDK6",0.229838918674443,0.0317297154294037,"macrophage"
"CEBPA",0.214187471777923,0.280128595085317,"macrophage"
"CEP78",0.144108465774289,0.0127006498016591,"macrophage"
"CES1",0.203815297736009,0.878673573788762,"macrophage"
"CFP",2835902512687361,5501736865937.38,"macrophage"
"CHFR",0.403437387949754,0.137862020781775,"macrophage"
"CHST11",0.533415318908471,0.167340432527069,"macrophage"
"CHST12",0.419617996454652,0.119273338391403,"macrophage"
"CLASP1",0.38565611780989,0.0287341241901191,"macrophage"
"CLCN7",0.349789539442727,0.290656458671545,"macrophage"
"CLEC11A",0.251832589367391,0.291870112028785,"macrophage"
"CLEC12A",0.334578050134217,0.561936525297494,"macrophage"
"CLIC3",3722044432216044,NA,"macrophage"
"CLK2",0.186670795665794,86084499.9076051,"macrophage"
"CLN3",0.0736636250561445,48782937279.471,"macrophage"
"CLSTN3",0.0745397752805851,92862621.1378218,"macrophage"
"CNTRL",2.73335860926825,1.01004874760918,"macrophage"
"COMMD9",0.454176182818502,0.87571568712669,"macrophage"
"COQ7",0.367024871825631,0.0888708207180353,"macrophage"
