"pval" "Variance_hat" "Method" "delta" "sigma"
7.98419148198966e-05 0.00149887623187419 "Individual hi" 0 0.1
0.072745130804831 0.00422085321679834 "Change Point" 0.125 0.1
0.00239446493362643 0.003009610967226 "Individual hi" 0.25 0.1
0.726420842268585 0.00728773816021986 "Change Point" 0.375 0.1
0.0220531503653256 0.00296871448314579 "Individual hi" 0.5 0.1
0.151767099107955 0.0136414441845099 "Change Point" 0.625 0.1
0.00494397719071832 0.00474609064111234 "Individual hi" 0.75 0.1
0.19840680466657 0.0293676671989444 "Change Point" 0.875 0.1
0.00394227504383002 0.00470482567691839 "Individual hi" 1 0.1
0.308012978628552 0.035964063924124 "Change Point" 1.125 0.1
0.0808340275327364 0.00488869812515618 "Individual hi" 1.25 0.1
0.358382671738591 0.0256107117968903 "Change Point" 1.375 0.1
0.922622755428563 0.00445715026345287 "Individual hi" 1.5 0.1
0.93687077867644 0.0134896634468219 "Change Point" 1.625 0.1
0.113199617579545 0.00527739985550026 "Individual hi" 1.75 0.1
0.414054552647646 0.0211800718358273 "Change Point" 1.875 0.1
0.593654371365721 0.00607073631732555 "Individual hi" 2 0.1
0.683468837323546 0.0156537146532909 "Change Point" 2.125 0.1
0.236684441736147 0.00497081056512327 "Individual hi" 2.25 0.1
0.765411768056855 0.00991905949584989 "Change Point" 2.375 0.1
0.0280832110293284 0.00585450833598376 "Individual hi" 2.5 0.1
0.520580429162901 0.00946351118882328 "Change Point" 2.625 0.1
0.0540732909536392 0.00631041092060659 "Individual hi" 2.75 0.1
0.772897606141568 0.00727271582573626 "Change Point" 2.875 0.1
0.0218507325417584 0.00779405360507303 "Individual hi" 3 0.1
0.542070836069151 0.0104256459862664 "Change Point" 3.5 0.1
0.371124177830302 0.00590284787214335 "Individual hi" 7.52083333333333 0.1
0.985157824879625 0.0066902657261064 "Change Point" 11.5416666666667 0.1
0.564555224658065 0.00734332594546611 "Individual hi" 15.5625 0.1
0.157138247949174 0.00825299997865882 "Change Point" 19.5833333333333 0.1
0.674181004989077 0.0071221176145578 "Individual hi" 23.6041666666667 0.1
0.0715629477133537 0.00748984372256938 "Change Point" 27.625 0.1
0.975218427837522 0.00918685816764013 "Individual hi" 31.6458333333333 0.1
