"pval" "Variance_hat" "Method" "delta" "sigma"
0.0154655388038259 0.00122619042300435 "Individual hi" 0 0.1
0.323217519655728 0.00472107210023904 "Change Point" 0.125 0.1
0.00588680680795059 0.00218349132266632 "Individual hi" 0.25 0.1
0.105593146449848 0.00742090306674704 "Change Point" 0.375 0.1
0.0576149169077359 0.00252696345397502 "Individual hi" 0.5 0.1
0.988755608695596 0.0168269091142698 "Change Point" 0.625 0.1
0.0945427987311742 0.00318616591388565 "Individual hi" 0.75 0.1
0.912149678693282 0.0243666650714088 "Change Point" 0.875 0.1
0.14172293554883 0.00484156285540175 "Individual hi" 1 0.1
0.315894980843708 0.0374224840359069 "Change Point" 1.125 0.1
0.384833728607703 0.00451385444246493 "Individual hi" 1.25 0.1
0.580891402120541 0.0289513066623657 "Change Point" 1.375 0.1
0.033990939388784 0.00513395417535841 "Individual hi" 1.5 0.1
0.405647272334377 0.0222891034198774 "Change Point" 1.625 0.1
0.465039409960726 0.00587346616182869 "Individual hi" 1.75 0.1
0.439908057009721 0.0230499153186388 "Change Point" 1.875 0.1
0.128929304930788 0.00548339081944469 "Individual hi" 2 0.1
0.740757181245062 0.0128572247827854 "Change Point" 2.125 0.1
0.108997272100243 0.00631856892003997 "Individual hi" 2.25 0.1
0.513306715748204 0.0126423804324064 "Change Point" 2.375 0.1
0.301545780955835 0.00747517144633058 "Individual hi" 2.5 0.1
0.19627573371448 0.0156172066397791 "Change Point" 2.625 0.1
0.063100133232436 0.0070190955904877 "Individual hi" 2.75 0.1
0.934982380306616 0.0114114038762361 "Change Point" 2.875 0.1
0.0951904003109972 0.00592414768292957 "Individual hi" 3 0.1
0.935901538997799 0.00696682975775231 "Change Point" 3.5 0.1
0.714361347717876 0.00722454621749527 "Individual hi" 7.52083333333333 0.1
0.0142369880249429 0.00865520760209274 "Change Point" 11.5416666666667 0.1
0.0766016317479438 0.00720384634549523 "Individual hi" 15.5625 0.1
0.918892675492409 0.00805937432967803 "Change Point" 19.5833333333333 0.1
0.950814338820147 0.00767264228025008 "Individual hi" 23.6041666666667 0.1
0.814889970336336 0.0081377637018043 "Change Point" 27.625 0.1
0.841215851340322 0.00772110830127366 "Individual hi" 31.6458333333333 0.1
0.970084852018508 0.0078346638103542 "Change Point" 35.6666666666667 0.1
0.977625942756621 0.00933009768106585 "Individual hi" 39.6875 0.1
0.562162731417529 0.00979277574832831 "Change Point" 43.7083333333333 0.1
0.797047926104276 0.00863797565554747 "Individual hi" 47.7291666666667 0.1
0.294672507038061 0.00855009690663242 "Change Point" 51.75 0.1
0.374750635955253 0.0105083497374594 "Individual hi" 55.7708333333333 0.1
0.165666239237481 0.0107377208029892 "Change Point" 59.7916666666667 0.1
0.146528263048484 0.00854958247203605 "Individual hi" 63.8125 0.1
0.602286269018319 0.00824622070516669 "Change Point" 67.8333333333333 0.1
0.225524339593348 0.00707389433240595 "Individual hi" 71.8541666666667 0.1
0.490149553359882 0.00648559656196105 "Change Point" 75.875 0.1
0.680919967008254 0.00902664618302753 "Individual hi" 79.8958333333333 0.1
0.107100653139001 0.00838541390712844 "Change Point" 83.9166666666667 0.1
0.373488914241483 0.00754960744518659 "Individual hi" 87.9375 0.1
0.33246065720638 0.00666069866663245 "Change Point" 91.9583333333333 0.1
0.633871550526429 0.00720805260982481 "Individual hi" 95.9791666666667 0.1
0.429738819963819 0.00630178480456057 "Change Point" 100 0.1
0.873795173300313 0.00708689652499925 "Individual hi" 0 0.1
0.467746994565137 0.00610429105468272 "Change Point" 0.125 0.1
0.996437533884718 0.0119269810099101 "Individual hi" 0.25 0.1
0.165274290229238 0.00997421299517944 "Change Point" 0.375 0.1
0.0644615871681118 0.00943139301818224 "Individual hi" 0.5 0.1
0.270281079564221 0.00781677622691663 "Change Point" 0.625 0.1
0.818816223525125 0.0114846787944219 "Individual hi" 0.75 0.1
