"pval" "Variance_hat" "Method" "delta" "sigma"
0.0566064244996802 0.00172578313249938 "Individual hi" 0 0.1
0.41640840648053 0.00554048326414774 "Change Point" 0.125 0.1
0.0198464350287955 0.00315248076425286 "Individual hi" 0.25 0.1
0.720101184076341 0.0093441605589777 "Change Point" 0.375 0.1
0.00809185691380713 0.00319576357891911 "Individual hi" 0.5 0.1
0.543568175668336 0.01506704105393 "Change Point" 0.625 0.1
0.139277948495667 0.00383114130411402 "Individual hi" 0.75 0.1
0.302861050057634 0.0295670633813582 "Change Point" 0.875 0.1
0.0107682686299552 0.00510609912374308 "Individual hi" 1 0.1
0.199237416831779 0.0361580244110449 "Change Point" 1.125 0.1
0.00139976236631525 0.00492883779880229 "Individual hi" 1.25 0.1
0.118035442173534 0.0328569360029809 "Change Point" 1.375 0.1
0.887972063520021 0.00459252207470115 "Individual hi" 1.5 0.1
0.96042904468447 0.0194145652760291 "Change Point" 1.625 0.1
0.120083209533335 0.00628645289982359 "Individual hi" 1.75 0.1
0.0923903647826139 0.0193173165046677 "Change Point" 1.875 0.1
0.276973288978801 0.00500881586984246 "Individual hi" 2 0.1
0.817176457456201 0.0162308431205059 "Change Point" 2.125 0.1
0.61501107239585 0.00601257313224471 "Individual hi" 2.25 0.1
0.928909250191759 0.0109280826740695 "Change Point" 2.375 0.1
0.885285305013248 0.00572612938393022 "Individual hi" 2.5 0.1
0.00423847573534641 0.00834252477520651 "Change Point" 2.625 0.1
0.890362610516471 0.00640257475720658 "Individual hi" 2.75 0.1
0.843090945330217 0.00768241206410145 "Change Point" 2.875 0.1
0.225382428217421 0.00642136904581047 "Individual hi" 3 0.1
0.383004071020664 0.00748197041173778 "Change Point" 3.5 0.1
0.69889306839045 0.00654338433444093 "Individual hi" 7.52083333333333 0.1
0.907174049535222 0.00727102437645259 "Change Point" 11.5416666666667 0.1
0.986676877428428 0.00718586978289478 "Individual hi" 15.5625 0.1
0.333375295182081 0.0079965717166859 "Change Point" 19.5833333333333 0.1
0.591324349952268 0.00763378659397841 "Individual hi" 23.6041666666667 0.1
0.558701409281482 0.0083926512309325 "Change Point" 27.625 0.1
0.857310037287381 0.0075407556497352 "Individual hi" 31.6458333333333 0.1
0.377838985552162 0.00768891158321716 "Change Point" 35.6666666666667 0.1
0.662082530220083 0.00946479722403796 "Individual hi" 39.6875 0.1
0.787343142078269 0.00972942384437511 "Change Point" 43.7083333333333 0.1
0.432856539403599 0.00847530300500347 "Individual hi" 47.7291666666667 0.1
0.670965150765885 0.00845877721254685 "Change Point" 51.75 0.1
0.0190225415225372 0.00660491434417827 "Individual hi" 55.7708333333333 0.1
0.986088827829082 0.00620142172604323 "Change Point" 59.7916666666667 0.1
0.471570924945545 0.00896092816426505 "Individual hi" 63.8125 0.1
0.92194590860906 0.00867945614367734 "Change Point" 67.8333333333333 0.1
0.261627868630019 0.00720693462311189 "Individual hi" 71.8541666666667 0.1
