"pval" "Variance_hat" "Method" "delta" "sigma"
0.0824512717316515 0.00226432668210028 "Individual hi" 0 0.1
0.877662915100923 0.00553828160123949 "Change Point" 0.125 0.1
0.0071118814069806 0.00240897385434026 "Individual hi" 0.25 0.1
0.647716810781141 0.0101193377608763 "Change Point" 0.375 0.1
0.000102975589217124 0.00421289259310484 "Individual hi" 0.5 0.1
0.829886072948533 0.0163030900204853 "Change Point" 0.625 0.1
0.00454804889737866 0.00384286667046287 "Individual hi" 0.75 0.1
0.47465151470057 0.0235989532072173 "Change Point" 0.875 0.1
0.297953947734941 0.00515298179905988 "Individual hi" 1 0.1
0.603147709748617 0.0400209920678524 "Change Point" 1.125 0.1
7.35178896095077e-05 0.00488699858082558 "Individual hi" 1.25 0.1
0.0588312210309416 0.0289516917259319 "Change Point" 1.375 0.1
0.78453225368098 0.00549144930289485 "Individual hi" 1.5 0.1
0.662298983651333 0.0190847655982421 "Change Point" 1.625 0.1
0.0619461321377598 0.00366836171485055 "Individual hi" 1.75 0.1
0.687235244977396 0.00702624062092522 "Change Point" 1.875 0.1
0.0468198179091796 0.00463932152013464 "Individual hi" 2 0.1
0.493310326981302 0.0113504861762449 "Change Point" 2.125 0.1
0.119923747318161 0.00629991133227216 "Individual hi" 2.25 0.1
0.0252583687426407 0.0111004020785069 "Change Point" 2.375 0.1
0.786403239862432 0.0053318999498565 "Individual hi" 2.5 0.1
0.44817763647366 0.00847962373967723 "Change Point" 2.625 0.1
0.0479497901538153 0.00825108845960874 "Individual hi" 2.75 0.1
0.93046390753501 0.0143654961621283 "Change Point" 2.875 0.1
0.0938730387208804 0.00734752548560472 "Individual hi" 3 0.1
0.466563266914617 0.00887596655345835 "Change Point" 3.5 0.1
0.600959865434219 0.00813727413434881 "Individual hi" 7.52083333333333 0.1
0.245655424102779 0.00964388422168922 "Change Point" 11.5416666666667 0.1
0.765260753851586 0.00674521225078322 "Individual hi" 15.5625 0.1
0.0277177165430135 0.00708692707468569 "Change Point" 19.5833333333333 0.1
0.548673842917261 0.00647251408875717 "Individual hi" 23.6041666666667 0.1
0.796511765406329 0.00663703676039796 "Change Point" 27.625 0.1
0.772961463722402 0.00738967704500129 "Individual hi" 31.6458333333333 0.1
0.00964429452037052 0.00749753696064559 "Change Point" 35.6666666666667 0.1
0.0255861070788406 0.00787449277977751 "Individual hi" 39.6875 0.1
