"pval" "Variance_hat" "Method" "delta" "sigma"
0.0402542937499871 0.00183529663024451 "Individual hi" 0 0.1
0.508151853683787 0.00526213639274309 "Change Point" 0.125 0.1
0.00189505614637557 0.00258542466250203 "Individual hi" 0.25 0.1
0.652294062246876 0.00865625145353354 "Change Point" 0.375 0.1
0.0669793567687793 0.00733259443700207 "Individual hi" 0.5 0.1
0.916217026124459 0.0185623617855039 "Change Point" 0.625 0.1
0.00781190067809618 0.00917673161561711 "Individual hi" 0.75 0.1
0.310193172128563 0.0271264139760196 "Change Point" 0.875 0.1
0.237854344018823 0.00372611373476291 "Individual hi" 1 0.1
0.359528305686864 0.0264358588629352 "Change Point" 1.125 0.1
0.0223652062589598 0.00612289439096847 "Individual hi" 1.25 0.1
0.860556285277105 0.0378273450008635 "Change Point" 1.375 0.1
0.0369295906658892 0.00514824575619111 "Individual hi" 1.5 0.1
0.666898624653238 0.0202045607499762 "Change Point" 1.625 0.1
0.907726683529124 0.00560485948619619 "Individual hi" 1.75 0.1
0.198366965457985 0.0150311415963794 "Change Point" 1.875 0.1
0.0698476708211334 0.00694591729532505 "Individual hi" 2 0.1
0.0884029207570176 0.0117334822328832 "Change Point" 2.125 0.1
0.0277545667059481 0.00548499691252737 "Individual hi" 2.25 0.1
0.155485043964502 0.00935083062654625 "Change Point" 2.375 0.1
0.298460637906116 0.00668832692823054 "Individual hi" 2.5 0.1
0.401816232604712 0.0122553384839766 "Change Point" 2.625 0.1
0.0917535264703318 0.00800052234181872 "Individual hi" 2.75 0.1
0.102871628221485 0.0124827736055376 "Change Point" 2.875 0.1
0.562700900266368 0.00731061778169774 "Individual hi" 3 0.1
0.148183404753084 0.00871344743948287 "Change Point" 3.5 0.1
0.214023947548042 0.00763363929308021 "Individual hi" 7.52083333333333 0.1
0.854093516885056 0.00930203752098284 "Change Point" 11.5416666666667 0.1
0.584658444470412 0.00801707308572145 "Individual hi" 15.5625 0.1
0.177515474891922 0.00910654459804477 "Change Point" 19.5833333333333 0.1
0.585117669441638 0.00658192147250338 "Individual hi" 23.6041666666667 0.1
0.665657637989304 0.00674902701070802 "Change Point" 27.625 0.1
0.68633578983696 0.00614232940891171 "Individual hi" 31.6458333333333 0.1
0.573263678251358 0.00601318158834251 "Change Point" 35.6666666666667 0.1
0.107605719987647 0.00796627010174238 "Individual hi" 39.6875 0.1
0.0465791732151519 0.00791666596446231 "Change Point" 43.7083333333333 0.1
0.866344132312242 0.00781236317800296 "Individual hi" 47.7291666666667 0.1
0.311047494518102 0.00759806109637739 "Change Point" 51.75 0.1
0.816812661814171 0.00888414695625784 "Individual hi" 55.7708333333333 0.1
0.49500021171118 0.00855565085863085 "Change Point" 59.7916666666667 0.1
0.894559286100605 0.00757747995012414 "Individual hi" 63.8125 0.1
0.729592579591402 0.00710349471434952 "Change Point" 67.8333333333333 0.1
0.510695690727031 0.00784083262355688 "Individual hi" 71.8541666666667 0.1
0.452125378037115 0.00732592096111879 "Change Point" 75.875 0.1
0.446229358717693 0.00822040731540961 "Individual hi" 79.8958333333333 0.1
0.0584874263733224 0.00761934791218604 "Change Point" 83.9166666666667 0.1
0.890461914083507 0.00816685489041772 "Individual hi" 87.9375 0.1
