"pval" "Variance_hat" "Method" "delta" "sigma"
0.175130597086431 0.00231734627146795 "Individual hi" 0 0.1
0.119947467449088 0.00637522331701907 "Change Point" 0.125 0.1
0.0320218565499725 0.00140894688847707 "Individual hi" 0.25 0.1
0.344299138598351 0.00620094745079694 "Change Point" 0.375 0.1
0.0247245634659151 0.00401114467448607 "Individual hi" 0.5 0.1
0.999842811500008 0.0119224375632513 "Change Point" 0.625 0.1
0.00149425316877101 0.00311539490146982 "Individual hi" 0.75 0.1
0.454656886774467 0.0232929437140469 "Change Point" 0.875 0.1
0.030884533684094 0.00313884448394985 "Individual hi" 1 0.1
0.700014854373286 0.0222640310671516 "Change Point" 1.125 0.1
0.0700936313399333 0.00405016747265619 "Individual hi" 1.25 0.1
0.560155866472367 0.0220215790004242 "Change Point" 1.375 0.1
0.077907645864366 0.00502549428753103 "Individual hi" 1.5 0.1
0.533278062358843 0.0222962737526571 "Change Point" 1.625 0.1
0.429686298482947 0.00481548837830485 "Individual hi" 1.75 0.1
0.695828773881646 0.013888575871979 "Change Point" 1.875 0.1
0.911676417807157 0.00433850823660219 "Individual hi" 2 0.1
0.157696978413001 0.00708216726697401 "Change Point" 2.125 0.1
0.0910273435367499 0.00608004050957818 "Individual hi" 2.25 0.1
0.201957153850855 0.00984525899757436 "Change Point" 2.375 0.1
0.159913914121546 0.00541981840901899 "Individual hi" 2.5 0.1
0.864083848496049 0.0082504149924027 "Change Point" 2.625 0.1
0.28582052100949 0.00638755113274892 "Individual hi" 2.75 0.1
0.657118188989836 0.00852838883026272 "Change Point" 2.875 0.1
0.021884612898903 0.00763648445551523 "Individual hi" 3 0.1
0.963220595059733 0.00941169435625979 "Change Point" 3.5 0.1
0.624417002616142 0.00872119265385939 "Individual hi" 7.52083333333333 0.1
0.534306675567222 0.0108214665976611 "Change Point" 11.5416666666667 0.1
0.0429593680816745 0.00812343122781452 "Individual hi" 15.5625 0.1
0.7320712295501 0.00963048878941971 "Change Point" 19.5833333333333 0.1
0.34986810996277 0.0065060012990325 "Individual hi" 23.6041666666667 0.1
0.595278123873734 0.00671299860638403 "Change Point" 27.625 0.1
0.305534343101091 0.00745599054347533 "Individual hi" 31.6458333333333 0.1
0.203417614764112 0.00756182877020323 "Change Point" 35.6666666666667 0.1
0.7500710207924 0.00863763063470184 "Individual hi" 39.6875 0.1
0.633893073825843 0.00877375043184457 "Change Point" 43.7083333333333 0.1
0.826525999469444 0.00955122960834369 "Individual hi" 47.7291666666667 0.1
0.71991337245208 0.00975453478715789 "Change Point" 51.75 0.1
0.167672442080528 0.0096507043815409 "Individual hi" 55.7708333333333 0.1
0.206000952293684 0.00953948562024359 "Change Point" 59.7916666666667 0.1
0.467444470777518 0.0102466804319576 "Individual hi" 63.8125 0.1
0.228939006541053 0.0101542628283856 "Change Point" 67.8333333333333 0.1
0.216137543553271 0.00928473955456011 "Individual hi" 71.8541666666667 0.1
0.839327998724639 0.00893226686687703 "Change Point" 75.875 0.1
0.0753337675779666 0.00908777893114704 "Individual hi" 79.8958333333333 0.1
0.528415275308721 0.00856211726218504 "Change Point" 83.9166666666667 0.1
0.311395992236644 0.00784285128025801 "Individual hi" 87.9375 0.1
0.694535621264589 0.00689907562018197 "Change Point" 91.9583333333333 0.1
0.58987950115815 0.00976820310129349 "Individual hi" 95.9791666666667 0.1
0.0602373459170269 0.0087723620022383 "Change Point" 100 0.1
0.744788266750607 0.0101735609340589 "Individual hi" 0 0.1
0.990443802072567 0.00919808385498786 "Change Point" 0.125 0.1
0.955952344431415 0.00929461254201245 "Individual hi" 0.25 0.1
0.469850583801212 0.00735333317607552 "Change Point" 0.375 0.1
0.163503224101021 0.0100609562170174 "Individual hi" 0.5 0.1
0.856031471916179 0.00830965308314411 "Change Point" 0.625 0.1
0.973964624875953 0.0111848968791864 "Individual hi" 0.75 0.1
0.55917743072841 0.00869718428428192 "Change Point" 0.875 0.1
0.0294055557651446 0.00846036055374266 "Individual hi" 1 0.1
0.966031227388695 0.00681061762361022 "Change Point" 1.125 0.1
0.776195554044129 0.010316035004893 "Individual hi" 1.25 0.1
0.945238171823079 0.00787629562757969 "Change Point" 1.375 0.1
0.956371154122167 0.00827744192622879 "Individual hi" 1.5 0.1
0.881926948707934 0.00657544587539283 "Change Point" 1.625 0.1
0.437533957666355 0.00988037071982007 "Individual hi" 1.75 0.1
0.398137643996566 0.00777139237921789 "Change Point" 1.875 0.1
0.251698811500535 0.00944209447248221 "Individual hi" 2 0.1
0.544109349832313 0.00755735313502022 "Change Point" 2.125 0.1
0.219400258828941 0.0104676918957688 "Individual hi" 2.25 0.1
0.650289220036593 0.00765922915307936 "Change Point" 2.375 0.1
0.56689668434013 0.0119898028794734 "Individual hi" 2.5 0.1
0.0428778597732681 0.00934705796008088 "Change Point" 2.625 0.1
0.734707570338215 0.00902224454524254 "Individual hi" 2.75 0.1
0.828273958088828 0.00701493630843367 "Change Point" 2.875 0.1
0.22545394816734 0.00815239902748787 "Individual hi" 3 0.1
0.818405788631463 0.00655292761273465 "Change Point" 3.5 0.1
0.0495697643275609 0.00857156598970827 "Individual hi" 7.52083333333333 0.1
0.909814493076041 0.00654844000441242 "Change Point" 11.5416666666667 0.1
0.612013076576581 0.0113013213343314 "Individual hi" 15.5625 0.1
0.812382481101966 0.00863411417207825 "Change Point" 19.5833333333333 0.1
0.650388935785905 0.015250948742413 "Individual hi" 23.6041666666667 0.1
0.0896646485383318 0.0114904039429936 "Change Point" 27.625 0.1
0.357637353331295 0.00920666420547041 "Individual hi" 31.6458333333333 0.1
0.98937045634032 0.00710256380572571 "Change Point" 35.6666666666667 0.1
0.535967462049236 0.010241748367079 "Individual hi" 39.6875 0.1
0.825589583284615 0.00830411553052477 "Change Point" 43.7083333333333 0.1
0.273008600890784 0.0108648445138078 "Individual hi" 47.7291666666667 0.1
0.662473544115553 0.00800056856753669 "Change Point" 51.75 0.1
0.393503920035884 0.0097141816956302 "Individual hi" 55.7708333333333 0.1
0.275746767317377 0.00758201023388328 "Change Point" 59.7916666666667 0.1
0.618931178896043 0.0109008228106674 "Individual hi" 63.8125 0.1
0.298976724516784 0.00892400855800302 "Change Point" 67.8333333333333 0.1
0.740534390083261 0.00795983522996348 "Individual hi" 71.8541666666667 0.1
0.177830388600742 0.00655558000857782 "Change Point" 75.875 0.1
0.146683542158858 0.00849949425860764 "Individual hi" 79.8958333333333 0.1
0.273907984949829 0.00689031672688608 "Change Point" 83.9166666666667 0.1
0.643469568096521 0.00891715109562578 "Individual hi" 87.9375 0.1
0.873511404694257 0.0071433103974313 "Change Point" 91.9583333333333 0.1
0.57601168886634 0.00911951275904577 "Individual hi" 95.9791666666667 0.1
0.761216669293813 0.00766413692236731 "Change Point" 100 0.1
0.00175083377151179 0.0609000971994553 "Individual hi" 0 0.5
0.434535131991486 0.205470927723453 "Change Point" 0.125 0.5
0.0145707310415172 0.0250924026386152 "Individual hi" 0.25 0.5
0.418554345816535 0.119231871466746 "Change Point" 0.375 0.5
0.0161934816721517 0.0536854578419836 "Individual hi" 0.5 0.5
0.741331837438711 0.175026212670331 "Change Point" 0.625 0.5
0.0116482199794174 0.0500809310688086 "Individual hi" 0.75 0.5
0.394496858153348 0.161624141079906 "Change Point" 0.875 0.5
