"pval" "Variance_hat" "Method" "delta" "sigma"
0.0631232708766577 0.00189302531212857 "Individual hi" 0 0.1
0.384587612427418 0.00604507077492759 "Change Point" 0.125 0.1
0.00185263825847378 0.00176844782534627 "Individual hi" 0.25 0.1
0.967873506901921 0.00814000889131802 "Change Point" 0.375 0.1
0.0030013657841798 0.00343145014016392 "Individual hi" 0.5 0.1
0.924346812637063 0.0175928463666012 "Change Point" 0.625 0.1
0.00917313342891334 0.00537691145198279 "Individual hi" 0.75 0.1
0.637293097388775 0.0307414815924992 "Change Point" 0.875 0.1
0.0242260753525083 0.00468031719062407 "Individual hi" 1 0.1
0.228991651372357 0.0363855256875241 "Change Point" 1.125 0.1
0.411737613856183 0.00497646514674977 "Individual hi" 1.25 0.1
0.266245621394929 0.0235452783303611 "Change Point" 1.375 0.1
0.0776988090485047 0.00521839865097044 "Individual hi" 1.5 0.1
0.272221133680822 0.0208551919775666 "Change Point" 1.625 0.1
0.80506825768156 0.0068161662752924 "Individual hi" 1.75 0.1
0.369778111965186 0.0211755041701892 "Change Point" 1.875 0.1
0.0141529219131892 0.00577925964814525 "Individual hi" 2 0.1
0.317876585794651 0.0155156812402583 "Change Point" 2.125 0.1
0.37696808172134 0.00506696152739381 "Individual hi" 2.25 0.1
0.0259152722941702 0.0106405303203174 "Change Point" 2.375 0.1
0.0551590677641367 0.00671288229175366 "Individual hi" 2.5 0.1
0.128774789961651 0.0104230133569026 "Change Point" 2.625 0.1
0.104130574558696 0.00618456818603091 "Individual hi" 2.75 0.1
0.0623762361366769 0.0078230561978935 "Change Point" 2.875 0.1
0.228165541154857 0.00547299407837622 "Individual hi" 3 0.1
0.769284175910115 0.00592810085065565 "Change Point" 3.5 0.1
0.287002006114299 0.00945399663755549 "Individual hi" 7.52083333333333 0.1
0.719520893936637 0.0121671678014236 "Change Point" 11.5416666666667 0.1
0.126530493170353 0.00728468190134094 "Individual hi" 15.5625 0.1
0.980907372116991 0.00824617115116082 "Change Point" 19.5833333333333 0.1
0.856426033512728 0.00768954224262755 "Individual hi" 23.6041666666667 0.1
0.0535704655307021 0.00809759087901272 "Change Point" 27.625 0.1
0.126857652710589 0.00844100002100876 "Individual hi" 31.6458333333333 0.1
0.583875018181219 0.00894546655951178 "Change Point" 35.6666666666667 0.1
0.938605275993545 0.00766364373065248 "Individual hi" 39.6875 0.1
0.37433082589341 0.0075961731408189 "Change Point" 43.7083333333333 0.1
0.0611924752868826 0.00768722176954926 "Individual hi" 47.7291666666667 0.1
0.122403035827612 0.00749586079051413 "Change Point" 51.75 0.1
0.302700043709118 0.00997270023037197 "Individual hi" 55.7708333333333 0.1
0.83742398151501 0.0101070061852533 "Change Point" 59.7916666666667 0.1
0.977170554798595 0.00762869389747357 "Individual hi" 63.8125 0.1
0.963778792554825 0.00722079481439537 "Change Point" 67.8333333333333 0.1
0.800389390575938 0.00964144070398954 "Individual hi" 71.8541666666667 0.1
0.880809437051383 0.00934241575454893 "Change Point" 75.875 0.1
0.973891107584487 0.00865951195171928 "Individual hi" 79.8958333333333 0.1
0.390466627234329 0.00812353383257037 "Change Point" 83.9166666666667 0.1
0.222443951442407 0.00953933131383495 "Individual hi" 87.9375 0.1
0.728781001843547 0.00885024988874142 "Change Point" 91.9583333333333 0.1
0.491036003207917 0.00867554452691172 "Individual hi" 95.9791666666667 0.1
0.812758854663031 0.00773115489429089 "Change Point" 100 0.1
0.730971662791917 0.00841503737460796 "Individual hi" 0 0.1
0.071327635438011 0.00750910665888275 "Change Point" 0.125 0.1
0.282786679369352 0.00935045840716759 "Individual hi" 0.25 0.1
0.0446545801817615 0.00783250765685515 "Change Point" 0.375 0.1
0.649323105029653 0.0104019403573232 "Individual hi" 0.5 0.1
0.550999625207904 0.00784971188938121 "Change Point" 0.625 0.1
0.759471817939412 0.0116752288852241 "Individual hi" 0.75 0.1
0.819451746654508 0.0092311067857494 "Change Point" 0.875 0.1
0.835603545675346 0.00916970969803401 "Individual hi" 1 0.1
0.369870768828457 0.00767814712985606 "Change Point" 1.125 0.1
0.66612453845709 0.00826093579927992 "Individual hi" 1.25 0.1
0.109999745114247 0.00705221754450275 "Change Point" 1.375 0.1
0.847913503036857 0.0104832863939107 "Individual hi" 1.5 0.1
0.61562588054125 0.00828706099941637 "Change Point" 1.625 0.1
0.755802715747774 0.00833632455707316 "Individual hi" 1.75 0.1
0.0917975021315305 0.00698414088293968 "Change Point" 1.875 0.1
0.453310704335477 0.00905526091765864 "Individual hi" 2 0.1
0.461338095528463 0.0075007424370553 "Change Point" 2.125 0.1
0.675399382458719 0.0114475460086316 "Individual hi" 2.25 0.1
0.258658749204171 0.00914258525836743 "Change Point" 2.375 0.1
0.222196799114305 0.00942520122957065 "Individual hi" 2.5 0.1
0.348106868804966 0.0072601798683529 "Change Point" 2.625 0.1
0.858899887955169 0.0124486951951863 "Individual hi" 2.75 0.1
0.482923066456175 0.00979656740475261 "Change Point" 2.875 0.1
0.432565673406749 0.010484338165336 "Individual hi" 3 0.1
0.431581408478891 0.00876859940013955 "Change Point" 3.5 0.1
0.916942519895806 0.0108093899541088 "Individual hi" 7.52083333333333 0.1
0.651428485548905 0.00853803491823639 "Change Point" 11.5416666666667 0.1
0.664229033024096 0.00983202949575246 "Individual hi" 15.5625 0.1
0.000516601609309087 0.00792668335806537 "Change Point" 19.5833333333333 0.1
0.614798226717146 0.00777893238038446 "Individual hi" 23.6041666666667 0.1
0.0264215510919845 0.00606593435758948 "Change Point" 27.625 0.1
0.292543706245061 0.00915466144580228 "Individual hi" 31.6458333333333 0.1
0.94159228206561 0.00725945040635273 "Change Point" 35.6666666666667 0.1
0.487606419272012 0.0105493792777586 "Individual hi" 39.6875 0.1
0.99300252799476 0.00889234282103977 "Change Point" 43.7083333333333 0.1
0.774208099022201 0.00798095807903262 "Individual hi" 47.7291666666667 0.1
0.607169464452426 0.0062911673371987 "Change Point" 51.75 0.1
0.64420887663047 0.00956362289358113 "Individual hi" 55.7708333333333 0.1
0.600010018238997 0.00794893675760107 "Change Point" 59.7916666666667 0.1
0.583639559030994 0.0077351644361755 "Individual hi" 63.8125 0.1
0.750012803605651 0.00622448520010945 "Change Point" 67.8333333333333 0.1
0.495367112014918 0.0124861837988085 "Individual hi" 71.8541666666667 0.1
0.622282812714452 0.0106473419681382 "Change Point" 75.875 0.1
0.157244601006203 0.00799051315342666 "Individual hi" 79.8958333333333 0.1
0.539327032214359 0.00646373366355237 "Change Point" 83.9166666666667 0.1
0.339506626447568 0.0101716833684073 "Individual hi" 87.9375 0.1
0.259152071742717 0.00807181547463553 "Change Point" 91.9583333333333 0.1
0.788647579602319 0.0110377980511103 "Individual hi" 95.9791666666667 0.1
0.450221016014885 0.00901279031071471 "Change Point" 100 0.1
0.179548904362966 0.0510897430303909 "Individual hi" 0 0.5
0.98967576361716 0.145759367471452 "Change Point" 0.125 0.5
2.78088135193878e-06 0.0427360077571608 "Individual hi" 0.25 0.5
0.749473944742215 0.180402639281987 "Change Point" 0.375 0.5
7.07122051394426e-06 0.0539014387080785 "Individual hi" 0.5 0.5
0.213255865511133 0.158649457069491 "Change Point" 0.625 0.5
0.0170789958651705 0.0357492830071618 "Individual hi" 0.75 0.5
0.825898232865343 0.130806284244564 "Change Point" 0.875 0.5
0.112381149347558 0.0677938999925256 "Individual hi" 1 0.5
0.143239376886102 0.179689854490278 "Change Point" 1.125 0.5
0.00112172884257732 0.068441715868202 "Individual hi" 1.25 0.5
0.913550430833524 0.225140523049814 "Change Point" 1.375 0.5
0.448866556505883 0.0956963158706458 "Individual hi" 1.5 0.5
0.768555482446919 0.244528279056484 "Change Point" 1.625 0.5
0.00095180071447126 0.0850386278544898 "Individual hi" 1.75 0.5
0.917532324122591 0.34601926261956 "Change Point" 1.875 0.5
0.0111582593689242 0.145159196019154 "Individual hi" 2 0.5
0.316505538572022 0.36529369013183 "Change Point" 2.125 0.5
0.0181320690356117 0.116046810779403 "Individual hi" 2.25 0.5
0.881944918424177 0.370505801554042 "Change Point" 2.375 0.5
0.237191993524684 0.150281646230162 "Individual hi" 2.5 0.5
0.988681463060342 0.393939672856853 "Change Point" 2.625 0.5
0.0201048821464684 0.0787094981314317 "Individual hi" 2.75 0.5
0.473723876264359 0.522279735994801 "Change Point" 2.875 0.5
7.89475185361701e-05 0.0838443592412069 "Individual hi" 3 0.5
0.57664444180315 0.460624671549518 "Change Point" 3.5 0.5
0.00205089491634398 0.0872785470990935 "Individual hi" 7.52083333333333 0.5
0.452297103784452 0.61747797810851 "Change Point" 11.5416666666667 0.5
0.0772243803231162 0.112643476308703 "Individual hi" 15.5625 0.5
0.436292276942056 0.649883058988425 "Change Point" 19.5833333333333 0.5
0.000428713971144686 0.0943032367744558 "Individual hi" 23.6041666666667 0.5
0.396473568968245 0.678553712762456 "Change Point" 27.625 0.5
0.0214186797482264 0.120218201494395 "Individual hi" 31.6458333333333 0.5
0.325100875640999 0.818989075064926 "Change Point" 35.6666666666667 0.5
0.0123590432914453 0.0929325109452011 "Individual hi" 39.6875 0.5
0.297259931334342 0.695147316834825 "Change Point" 43.7083333333333 0.5
0.0136732599714001 0.111937679954418 "Individual hi" 47.7291666666667 0.5
0.112526475824953 0.81290635225666 "Change Point" 51.75 0.5
0.170509169623291 0.113800267091539 "Individual hi" 55.7708333333333 0.5
0.193004179689592 0.829081691094907 "Change Point" 59.7916666666667 0.5
0.0508930534894709 0.114345049376756 "Individual hi" 63.8125 0.5
0.61901448145391 0.781316420408731 "Change Point" 67.8333333333333 0.5
0.535613140598425 0.0983160998616015 "Individual hi" 71.8541666666667 0.5
0.723741698933401 0.703191304511089 "Change Point" 75.875 0.5
0.0315004258107101 0.122478341445194 "Individual hi" 79.8958333333333 0.5
0.0169503660896848 0.870572711545076 "Change Point" 83.9166666666667 0.5
0.0916792668675047 0.105567328790378 "Individual hi" 87.9375 0.5
0.151793794288072 0.786632586575391 "Change Point" 91.9583333333333 0.5
0.935591630788626 0.104735324570265 "Individual hi" 95.9791666666667 0.5
0.923457248029458 0.501212017849275 "Change Point" 100 0.5
