"pval" "Variance_hat" "Method" "delta" "sigma"
0.00073905097110559 0.00119907757487579 "Individual hi" 0 0.1
0.255633404839587 0.00594060108679704 "Change Point" 0.125 0.1
0.928309505551828 0.00406770840135864 "Individual hi" 0.25 0.1
0.750571034617688 0.0103449037883581 "Change Point" 0.375 0.1
0.00376560003505575 0.00440081935173812 "Individual hi" 0.5 0.1
0.450796822526049 0.0166051801060005 "Change Point" 0.625 0.1
0.000476035222468633 0.00400075318872419 "Individual hi" 0.75 0.1
0.631745909841448 0.0286279112050182 "Change Point" 0.875 0.1
0.0142493569434884 0.00547719165391415 "Individual hi" 1 0.1
0.275031526008531 0.0418302838265868 "Change Point" 1.125 0.1
0.0268980610574205 0.00499349811462701 "Individual hi" 1.25 0.1
0.744293602846094 0.0240487639173113 "Change Point" 1.375 0.1
0.369396155877238 0.00451066854535087 "Individual hi" 1.5 0.1
0.0893717829072538 0.0223526855461561 "Change Point" 1.625 0.1
0.546663411965503 0.00525897734195752 "Individual hi" 1.75 0.1
0.580838110881777 0.0193089243009307 "Change Point" 1.875 0.1
0.831064561913832 0.00523158030113877 "Individual hi" 2 0.1
0.0871653066507291 0.0118090365768388 "Change Point" 2.125 0.1
0.0339371857546172 0.00483921021488452 "Individual hi" 2.25 0.1
0.048427782669351 0.00641738386565409 "Change Point" 2.375 0.1
0.034270135439214 0.00564954374502879 "Individual hi" 2.5 0.1
0.983905013640955 0.00827585692768733 "Change Point" 2.625 0.1
0.868981041937574 0.00715446597351877 "Individual hi" 2.75 0.1
0.71874194918624 0.0116727468963922 "Change Point" 2.875 0.1
0.386122234731216 0.00726348798627089 "Individual hi" 3 0.1
0.983633911875087 0.0123961092130058 "Change Point" 3.5 0.1
0.476737445448059 0.00650299676949646 "Individual hi" 7.52083333333333 0.1
0.629185762846989 0.00706898869758924 "Change Point" 11.5416666666667 0.1
0.435513739266404 0.00865447066037554 "Individual hi" 15.5625 0.1
0.341298518479181 0.00991035006430927 "Change Point" 19.5833333333333 0.1
0.566406798890983 0.00465928790740153 "Individual hi" 23.6041666666667 0.1
0.99564568773101 0.00435977648247243 "Change Point" 27.625 0.1
0.114608591265547 0.00921242767238579 "Individual hi" 31.6458333333333 0.1
0.13327654655049 0.00991463383610104 "Change Point" 35.6666666666667 0.1
0.505397047078977 0.00765571068193203 "Individual hi" 39.6875 0.1
0.701582459962082 0.00760297251541971 "Change Point" 43.7083333333333 0.1
0.760897533648812 0.00672670910181313 "Individual hi" 47.7291666666667 0.1
0.434318846165738 0.00628176433572735 "Change Point" 51.75 0.1
0.898188248605178 0.00902641152065663 "Individual hi" 55.7708333333333 0.1
0.647552736828047 0.00881978380773393 "Change Point" 59.7916666666667 0.1
0.547587176173343 0.00962568963271116 "Individual hi" 63.8125 0.1
0.852161437630269 0.00947725126942863 "Change Point" 67.8333333333333 0.1
0.909041164115287 0.00944831749790759 "Individual hi" 71.8541666666667 0.1
0.881843265476229 0.00906575897066169 "Change Point" 75.875 0.1
0.852447731892559 0.00813486852250468 "Individual hi" 79.8958333333333 0.1
0.296075676358295 0.00724819613002565 "Change Point" 83.9166666666667 0.1
0.873770176341033 0.00895860458541234 "Individual hi" 87.9375 0.1
0.965866284257925 0.00808524549932551 "Change Point" 91.9583333333333 0.1
0.805909330295787 0.00604532622120865 "Individual hi" 95.9791666666667 0.1
0.15792482245923 0.00525186247485013 "Change Point" 100 0.1
0.469582425018661 0.00954337251185408 "Individual hi" 0 0.1
0.403292857351388 0.00863860158049986 "Change Point" 0.125 0.1
0.222499956967777 0.00876151853778349 "Individual hi" 0.25 0.1
0.329315920946967 0.00726842224984852 "Change Point" 0.375 0.1
0.736686289864632 0.0103045585169631 "Individual hi" 0.5 0.1
0.094848633965117 0.00817328348004955 "Change Point" 0.625 0.1
0.138339106602836 0.00769791620576662 "Individual hi" 0.75 0.1
0.0214583402937051 0.00614519532692466 "Change Point" 0.875 0.1
0.620042798861944 0.00798352838151273 "Individual hi" 1 0.1
0.885591564317996 0.00649674836449299 "Change Point" 1.125 0.1
0.222082656174829 0.00774680839619089 "Individual hi" 1.25 0.1
0.729128139262604 0.00617412359080766 "Change Point" 1.375 0.1
0.301287129087187 0.0109095459575956 "Individual hi" 1.5 0.1
0.264691327678941 0.00826516894002369 "Change Point" 1.625 0.1
0.498106446831608 0.00921238124513101 "Individual hi" 1.75 0.1
0.492994545205013 0.00696749296997824 "Change Point" 1.875 0.1
0.765828302426381 0.00861311408838504 "Individual hi" 2 0.1
0.739354031243191 0.00733352010476459 "Change Point" 2.125 0.1
0.318342015800208 0.0135053005757558 "Individual hi" 2.25 0.1
0.816207405756252 0.0105454142697888 "Change Point" 2.375 0.1
0.927922695498584 0.0104193266859242 "Individual hi" 2.5 0.1
0.446542747330878 0.00735451589351054 "Change Point" 2.625 0.1
0.357987561802394 0.00929259523883243 "Individual hi" 2.75 0.1
0.776787488942487 0.00731179488166244 "Change Point" 2.875 0.1
0.00978273606834049 0.00800450951633709 "Individual hi" 3 0.1
0.491607617715354 0.00628413458139135 "Change Point" 3.5 0.1
0.544073999814703 0.0120391057017566 "Individual hi" 7.52083333333333 0.1
0.868732876885716 0.00883239726373274 "Change Point" 11.5416666666667 0.1
0.467238456736651 0.0117685565867764 "Individual hi" 15.5625 0.1
0.899574839669967 0.0093512312820292 "Change Point" 19.5833333333333 0.1
0.473496760326187 0.0132698532988606 "Individual hi" 23.6041666666667 0.1
0.200322861164958 0.00954901382677831 "Change Point" 27.625 0.1
0.204399216695651 0.00997746049840964 "Individual hi" 31.6458333333333 0.1
0.85751080956529 0.00784890400798082 "Change Point" 35.6666666666667 0.1
0.694029524752449 0.00971572535650754 "Individual hi" 39.6875 0.1
0.506116444361416 0.00780960007598787 "Change Point" 43.7083333333333 0.1
0.776456994396459 0.0100458162073492 "Individual hi" 47.7291666666667 0.1
0.669665340469624 0.00751472093208926 "Change Point" 51.75 0.1
0.388555203550539 0.00906478058833192 "Individual hi" 55.7708333333333 0.1
0.175716005911835 0.00760995175964633 "Change Point" 59.7916666666667 0.1
0.708625877901108 0.0111862687695024 "Individual hi" 63.8125 0.1
0.603608902814377 0.00900701577012646 "Change Point" 67.8333333333333 0.1
0.873852602624148 0.0116701585553636 "Individual hi" 71.8541666666667 0.1
0.652739289081368 0.00964528901845434 "Change Point" 75.875 0.1
0.206122148836542 0.00795634055221605 "Individual hi" 79.8958333333333 0.1
0.856105358553099 0.00657978876162125 "Change Point" 83.9166666666667 0.1
0.572528988936479 0.0122964970831303 "Individual hi" 87.9375 0.1
0.175567382242662 0.00949599897762029 "Change Point" 91.9583333333333 0.1
0.227889299402158 0.0104368575193675 "Individual hi" 95.9791666666667 0.1
0.281178643195688 0.00838947715070718 "Change Point" 100 0.1
7.09138605488366e-05 0.0461271857011406 "Individual hi" 0 0.5
0.708673793625195 0.161084942288805 "Change Point" 0.125 0.5
8.20828783432499e-07 0.0387266010718298 "Individual hi" 0.25 0.5
0.782530737984216 0.155293322214035 "Change Point" 0.375 0.5
0.00122995852138073 0.0523576827376763 "Individual hi" 0.5 0.5
0.608376074514624 0.143715962511832 "Change Point" 0.625 0.5
0.00529120622139452 0.0815580689992732 "Individual hi" 0.75 0.5
0.500802855435512 0.20241756328295 "Change Point" 0.875 0.5
0.0223243204969701 0.0741680434723494 "Individual hi" 1 0.5
0.743819174705476 0.203089564943829 "Change Point" 1.125 0.5
0.000580631708557443 0.0601452946442054 "Individual hi" 1.25 0.5
0.237742472588906 0.208379486287554 "Change Point" 1.375 0.5
0.0550123949779631 0.0664019196386884 "Individual hi" 1.5 0.5
0.815048532363041 0.219874115403045 "Change Point" 1.625 0.5
6.15480241751631e-06 0.0650446312253592 "Individual hi" 1.75 0.5
0.75147567007067 0.238937843503519 "Change Point" 1.875 0.5
0.100428318719167 0.13728115525842 "Individual hi" 2 0.5
0.921730604200145 0.390438482258605 "Change Point" 2.125 0.5
0.00599789588386732 0.0834664394945995 "Individual hi" 2.25 0.5
0.701831084157378 0.368967560772187 "Change Point" 2.375 0.5
0.00620911939338559 0.137977408865334 "Individual hi" 2.5 0.5
0.780111872763477 0.427996298658648 "Change Point" 2.625 0.5
0.000226924896908254 0.110024622736158 "Individual hi" 2.75 0.5
0.316604214850669 0.43428608673181 "Change Point" 2.875 0.5
0.0016194593456833 0.101710264963907 "Individual hi" 3 0.5
0.800596951905868 0.508996540852378 "Change Point" 3.5 0.5
