"pval" "Variance_hat" "Method" "delta" "sigma"
0.0547075514294379 0.00190041928135842 "Individual hi" 0 0.1
0.140640592728457 0.00721661597397146 "Change Point" 0.125 0.1
0.00835895048589807 0.00341000782112423 "Individual hi" 0.25 0.1
0.93295055401761 0.00805683317003577 "Change Point" 0.375 0.1
0.00135898731451646 0.0039363158050541 "Individual hi" 0.5 0.1
0.745956298686935 0.0171245635430033 "Change Point" 0.625 0.1
0.0597024657702446 0.00534529643420434 "Individual hi" 0.75 0.1
0.56578509170254 0.030114041585736 "Change Point" 0.875 0.1
0.0896504823540607 0.00436606903848789 "Individual hi" 1 0.1
0.023729578731303 0.0324119834058385 "Change Point" 1.125 0.1
0.478793150279898 0.00502167472707117 "Individual hi" 1.25 0.1
0.893781764075393 0.0343528099532801 "Change Point" 1.375 0.1
0.01780186302173 0.00556092918864016 "Individual hi" 1.5 0.1
0.70848269005654 0.031491582499313 "Change Point" 1.625 0.1
0.0338564399571676 0.00504383044817971 "Individual hi" 1.75 0.1
0.798339987694722 0.0138828248598741 "Change Point" 1.875 0.1
0.281286458427687 0.00521080664945755 "Individual hi" 2 0.1
0.217012601680891 0.0100640530246221 "Change Point" 2.125 0.1
0.0272343850955062 0.00548000572454926 "Individual hi" 2.25 0.1
0.669396485306724 0.00844047458105847 "Change Point" 2.375 0.1
0.0960277680556303 0.00665620752287707 "Individual hi" 2.5 0.1
0.661505642356549 0.013153310075491 "Change Point" 2.625 0.1
0.31094125688457 0.00801977223553558 "Individual hi" 2.75 0.1
0.377331328623467 0.0123177363187157 "Change Point" 2.875 0.1
0.700019780377161 0.00723508760619244 "Individual hi" 3 0.1
0.827643083739218 0.00907142533539801 "Change Point" 3.5 0.1
0.0995535145347053 0.0084568250484321 "Individual hi" 7.52083333333333 0.1
0.039291379970246 0.010646217642312 "Change Point" 11.5416666666667 0.1
0.461619190691272 0.00792237087761325 "Individual hi" 15.5625 0.1
0.707190418572876 0.00887877802975846 "Change Point" 19.5833333333333 0.1
0.0903611124956708 0.0082239495477923 "Individual hi" 23.6041666666667 0.1
0.318925590937856 0.00893749127525388 "Change Point" 27.625 0.1
0.363043893258255 0.00716729154877405 "Individual hi" 31.6458333333333 0.1
0.575976415530209 0.00715449112012328 "Change Point" 35.6666666666667 0.1
0.136928904418417 0.00646948453876172 "Individual hi" 39.6875 0.1
0.418794643791925 0.00629714691006445 "Change Point" 43.7083333333333 0.1
0.4863736949112 0.00734842735051361 "Individual hi" 47.7291666666667 0.1
0.265183214743691 0.00711296785472609 "Change Point" 51.75 0.1
0.0824687741846796 0.00828356096274567 "Individual hi" 55.7708333333333 0.1
0.846579195988313 0.00806125225272131 "Change Point" 59.7916666666667 0.1
0.880578476919445 0.00823301013706514 "Individual hi" 63.8125 0.1
0.545843148244686 0.00771446280216802 "Change Point" 67.8333333333333 0.1
0.985227904513028 0.00899823118674307 "Individual hi" 71.8541666666667 0.1
0.337810602033874 0.0084924679208645 "Change Point" 75.875 0.1
0.754398184502199 0.00973617280591762 "Individual hi" 79.8958333333333 0.1
0.778390683371252 0.00914998521552946 "Change Point" 83.9166666666667 0.1
0.752167025740746 0.0100196593759882 "Individual hi" 87.9375 0.1
0.62640234950767 0.00933381603571659 "Change Point" 91.9583333333333 0.1
0.795553928784981 0.00695154198654359 "Individual hi" 95.9791666666667 0.1
0.120085918415185 0.00613145775931703 "Change Point" 100 0.1
0.716595826080556 0.00891825093433379 "Individual hi" 0 0.1
0.665094623683352 0.00772512127585531 "Change Point" 0.125 0.1
0.534698941938783 0.0112431728043988 "Individual hi" 0.25 0.1
0.373672092385755 0.00881248241670412 "Change Point" 0.375 0.1
0.778291988581995 0.0121419368944344 "Individual hi" 0.5 0.1
0.973676924683791 0.00966530741992785 "Change Point" 0.625 0.1
0.910892927264562 0.0122527082438578 "Individual hi" 0.75 0.1
0.202228071398951 0.0101199850180148 "Change Point" 0.875 0.1
0.450614246623682 0.0068847998589748 "Individual hi" 1 0.1
0.0252194017572697 0.0056613408299817 "Change Point" 1.125 0.1
0.800359859655109 0.012986910157782 "Individual hi" 1.25 0.1
0.916136808578454 0.0109389720816124 "Change Point" 1.375 0.1
0.246544380993333 0.00923744827748149 "Individual hi" 1.5 0.1
0.618092818175213 0.00714702043184937 "Change Point" 1.625 0.1
0.772323862201212 0.00907068733923885 "Individual hi" 1.75 0.1
0.627419162064613 0.00711435188323697 "Change Point" 1.875 0.1
0.834374477001071 0.0075043009897219 "Individual hi" 2 0.1
0.730674481303583 0.00565259298453017 "Change Point" 2.125 0.1
0.263050568236062 0.00812749764552202 "Individual hi" 2.25 0.1
0.702237052809455 0.0067156193749792 "Change Point" 2.375 0.1
0.326155625305227 0.0121965119430023 "Individual hi" 2.5 0.1
0.473695443329568 0.00932134295274802 "Change Point" 2.625 0.1
0.9932759163719 0.0104473273930176 "Individual hi" 2.75 0.1
0.0851327959142457 0.00832835597832932 "Change Point" 2.875 0.1
0.205166830682963 0.0129691562881034 "Individual hi" 3 0.1
0.438901100566587 0.0100745943240443 "Change Point" 3.5 0.1
0.941091984655521 0.0106470186151503 "Individual hi" 7.52083333333333 0.1
