"pval" "Variance_hat" "Method" "delta" "sigma"
0.0327084083731409 0.00217256480571044 "Individual hi" 0 0.1
0.781400628422629 0.00704508923442267 "Change Point" 0.125 0.1
0.00110702726098842 0.0024665777524876 "Individual hi" 0.25 0.1
0.396944480522589 0.0100706122144253 "Change Point" 0.375 0.1
0.00026536155258403 0.00354937921535929 "Individual hi" 0.5 0.1
0.446391196159604 0.0142350536637017 "Change Point" 0.625 0.1
0.00150561668493226 0.00356696799084546 "Individual hi" 0.75 0.1
0.631678568560986 0.0265489346741728 "Change Point" 0.875 0.1
0.00396327313287182 0.00348666515094643 "Individual hi" 1 0.1
0.348531452971082 0.0243835933652133 "Change Point" 1.125 0.1
0.089550431465326 0.00526654183149444 "Individual hi" 1.25 0.1
0.855994619990127 0.0281489274297704 "Change Point" 1.375 0.1
0.0814608652473138 0.0044927526799909 "Individual hi" 1.5 0.1
0.576204946532615 0.0229119345623697 "Change Point" 1.625 0.1
0.0927323023519643 0.00531885830684738 "Individual hi" 1.75 0.1
0.750512030190476 0.0214649548361165 "Change Point" 1.875 0.1
0.318018423189065 0.0051716011656968 "Individual hi" 2 0.1
0.250963025542539 0.0138673080314569 "Change Point" 2.125 0.1
0.821796589498099 0.00634101822465792 "Individual hi" 2.25 0.1
0.631429890341821 0.0136028312468133 "Change Point" 2.375 0.1
0.619034245920032 0.00550276260939882 "Individual hi" 2.5 0.1
0.228307767439234 0.00774644118864843 "Change Point" 2.625 0.1
0.0292528307515123 0.00702772764397833 "Individual hi" 2.75 0.1
0.581311974118364 0.0113274984598391 "Change Point" 2.875 0.1
0.15292725113497 0.00547387865914407 "Individual hi" 3 0.1
0.246240624732374 0.00634200567090339 "Change Point" 3.5 0.1
0.0514342069474692 0.00568028849568269 "Individual hi" 7.52083333333333 0.1
0.517979385304503 0.00619305251959861 "Change Point" 11.5416666666667 0.1
0.240737217266008 0.00679796685829559 "Individual hi" 15.5625 0.1
0.730879671983993 0.00841972589457291 "Change Point" 19.5833333333333 0.1
0.508202130581677 0.00814607207556796 "Individual hi" 23.6041666666667 0.1
0.931729556272955 0.00881544242066175 "Change Point" 27.625 0.1
0.295714178451741 0.00766837386909862 "Individual hi" 31.6458333333333 0.1
0.171015651087341 0.00787229245297838 "Change Point" 35.6666666666667 0.1
0.225074878126971 0.00777062913026803 "Individual hi" 39.6875 0.1
0.513267319195268 0.00800257621923583 "Change Point" 43.7083333333333 0.1
0.0426566520681709 0.0073036225209751 "Individual hi" 47.7291666666667 0.1
0.226879696968436 0.0070057902018952 "Change Point" 51.75 0.1
0.201464971674595 0.00961310470066274 "Individual hi" 55.7708333333333 0.1
0.499922126731892 0.00924259935735044 "Change Point" 59.7916666666667 0.1
0.274200775938942 0.0093203826593798 "Individual hi" 63.8125 0.1
0.081206598997383 0.00883039738275191 "Change Point" 67.8333333333333 0.1
0.736420634931252 0.00712084366175681 "Individual hi" 71.8541666666667 0.1
0.753064966028333 0.00677492902419517 "Change Point" 75.875 0.1
0.752864991074436 0.00737030778843874 "Individual hi" 79.8958333333333 0.1
