"pval" "Variance_hat" "Method" "delta" "sigma"
0.0035856786401196 0.00147514599376707 "Individual hi" 0 0.1
0.89166676405537 0.00408784734736066 "Change Point" 0.125 0.1
0.00155121350322694 0.00267670313393117 "Individual hi" 0.25 0.1
0.586361187965346 0.00836239543585366 "Change Point" 0.375 0.1
0.787301386715256 0.00337601938806907 "Individual hi" 0.5 0.1
0.712798516114147 0.0141140481311115 "Change Point" 0.625 0.1
0.157988585930089 0.00416020654849702 "Individual hi" 0.75 0.1
0.717685770194255 0.0273781776111757 "Change Point" 0.875 0.1
0.0530497275632913 0.00488084308689353 "Individual hi" 1 0.1
0.630174728822061 0.037406379006395 "Change Point" 1.125 0.1
0.345528412803922 0.00504475752428438 "Individual hi" 1.25 0.1
0.529547220347959 0.0243616589174919 "Change Point" 1.375 0.1
0.0451555443336563 0.00622396506209342 "Individual hi" 1.5 0.1
0.855686847208413 0.0257679942878421 "Change Point" 1.625 0.1
0.00820903729489097 0.00504901882392808 "Individual hi" 1.75 0.1
0.0109710509574062 0.0156503483559988 "Change Point" 1.875 0.1
0.153364846636039 0.00552021375021928 "Individual hi" 2 0.1
0.138250056654548 0.0114959144305837 "Change Point" 2.125 0.1
0.289224853524677 0.0052604620161704 "Individual hi" 2.25 0.1
0.448504511913415 0.0081259045423468 "Change Point" 2.375 0.1
0.506572947197734 0.00624953466489244 "Individual hi" 2.5 0.1
0.771477070128427 0.0089847059006656 "Change Point" 2.625 0.1
0.430581953868136 0.00648298615529956 "Individual hi" 2.75 0.1
0.862258818235548 0.00948356734920577 "Change Point" 2.875 0.1
0.567028306056848 0.00684701745713503 "Individual hi" 3 0.1
0.406396934932854 0.00829376538867317 "Change Point" 3.5 0.1
0.543646029160371 0.00578903804607809 "Individual hi" 7.52083333333333 0.1
0.606925288993836 0.00621341587256034 "Change Point" 11.5416666666667 0.1
0.384019809062126 0.00660654952341921 "Individual hi" 15.5625 0.1
0.889598995239298 0.0068917480017674 "Change Point" 19.5833333333333 0.1
0.111006208518719 0.00715970209611562 "Individual hi" 23.6041666666667 0.1
0.945345111814806 0.00741551374468222 "Change Point" 27.625 0.1
0.203340178871217 0.00624859791706835 "Individual hi" 31.6458333333333 0.1
0.329620295037878 0.00600527242849662 "Change Point" 35.6666666666667 0.1
0.314344616299466 0.00656089030197426 "Individual hi" 39.6875 0.1
0.591166527954651 0.00627143480530496 "Change Point" 43.7083333333333 0.1
0.583598006079826 0.00944381424002302 "Individual hi" 47.7291666666667 0.1
0.0978500226109885 0.00958478461441277 "Change Point" 51.75 0.1
0.809469274621016 0.00659186896450434 "Individual hi" 55.7708333333333 0.1
0.156031101356077 0.00610429167370968 "Change Point" 59.7916666666667 0.1
0.933166334495099 0.00885376924075422 "Individual hi" 63.8125 0.1
0.610244386147609 0.00855854265753963 "Change Point" 67.8333333333333 0.1
0.395324453165328 0.00987277937556616 "Individual hi" 71.8541666666667 0.1
0.546076866651294 0.00938381314305578 "Change Point" 75.875 0.1
0.34505550572892 0.00702584508428672 "Individual hi" 79.8958333333333 0.1
0.423077357333167 0.00634266519347988 "Change Point" 83.9166666666667 0.1
