"pval" "Variance_hat" "Method" "delta" "sigma"
0.00609008898158787 0.00162370838937819 "Individual hi" 0 0.1
0.278400386769454 0.00713261046391561 "Change Point" 0.125 0.1
0.0386180895281025 0.00241220474923343 "Individual hi" 0.25 0.1
0.610745409508585 0.00807252924622449 "Change Point" 0.375 0.1
0.0201514752089116 0.00395609876661823 "Individual hi" 0.5 0.1
0.448850880820813 0.0161506116174887 "Change Point" 0.625 0.1
0.0357500346777957 0.00390665574969983 "Individual hi" 0.75 0.1
0.604601581068821 0.0273003956872257 "Change Point" 0.875 0.1
0.000842517045660375 0.0046826855420231 "Individual hi" 1 0.1
0.147276942521864 0.0359750441197964 "Change Point" 1.125 0.1
0.123026213148306 0.00400245542137807 "Individual hi" 1.25 0.1
0.563574073037899 0.0229169594482622 "Change Point" 1.375 0.1
0.0275106543413453 0.00635826640137627 "Individual hi" 1.5 0.1
0.693326887729115 0.0319853756190798 "Change Point" 1.625 0.1
0.349402564171145 0.00544360769699409 "Individual hi" 1.75 0.1
0.637922934272051 0.0156505567126171 "Change Point" 1.875 0.1
0.525737177382358 0.00517085779410135 "Individual hi" 2 0.1
0.364254177920067 0.0121692434823745 "Change Point" 2.125 0.1
0.535682941689213 0.00714557232282572 "Individual hi" 2.25 0.1
0.959768503448088 0.0152401614913092 "Change Point" 2.375 0.1
0.139632521672137 0.00573402717693567 "Individual hi" 2.5 0.1
0.306899013713555 0.00779979325981199 "Change Point" 2.625 0.1
0.121033895499355 0.00658433207381758 "Individual hi" 2.75 0.1
0.0384806089735686 0.0100026132716424 "Change Point" 2.875 0.1
0.233469474660447 0.00671376342280763 "Individual hi" 3 0.1
0.980844715090948 0.00824821370974988 "Change Point" 3.5 0.1
0.455503825433288 0.00537432295274314 "Individual hi" 7.52083333333333 0.1
0.305828846833534 0.00560976331925781 "Change Point" 11.5416666666667 0.1
0.66033652896948 0.00727400907243786 "Individual hi" 15.5625 0.1
0.870898223436183 0.00832632326035989 "Change Point" 19.5833333333333 0.1
0.823168725739726 0.00766961892893662 "Individual hi" 23.6041666666667 0.1
0.864313501243434 0.00815177759802778 "Change Point" 27.625 0.1
0.678599849068274 0.00676434284883576 "Individual hi" 31.6458333333333 0.1
0.675142349937372 0.00671925745569244 "Change Point" 35.6666666666667 0.1
0.804362519810985 0.00885779594481029 "Individual hi" 39.6875 0.1
0.791203383237499 0.00922046638751716 "Change Point" 43.7083333333333 0.1
0.520086832671544 0.00806723495989024 "Individual hi" 47.7291666666667 0.1
0.348539433133132 0.00781220360197302 "Change Point" 51.75 0.1
0.0599794996092425 0.00824441712040525 "Individual hi" 55.7708333333333 0.1
0.827121761979413 0.00801947555272769 "Change Point" 59.7916666666667 0.1
0.295368938087444 0.00884977164686124 "Individual hi" 63.8125 0.1
0.40555991425554 0.00859211059789773 "Change Point" 67.8333333333333 0.1
0.942566350267225 0.00919046542895218 "Individual hi" 71.8541666666667 0.1
0.0978250361821437 0.00881214518517968 "Change Point" 75.875 0.1
0.609093645949888 0.00976208943786258 "Individual hi" 79.8958333333333 0.1
0.278041474347954 0.00938415086509563 "Change Point" 83.9166666666667 0.1
0.783785762468272 0.00764255350647165 "Individual hi" 87.9375 0.1
0.235114096221015 0.00712145849630071 "Change Point" 91.9583333333333 0.1
0.199839025448146 0.0109948206508766 "Individual hi" 95.9791666666667 0.1
0.027697663031221 0.0102808041375001 "Change Point" 100 0.1
0.525024133655527 0.00958421258317042 "Individual hi" 0 0.1
0.947573111012113 0.00843416234841377 "Change Point" 0.125 0.1
0.288209854395648 0.00942380821348271 "Individual hi" 0.25 0.1
0.840842645506636 0.00730291106242746 "Change Point" 0.375 0.1
0.977714967759112 0.00885366113580179 "Individual hi" 0.5 0.1
0.864260413744919 0.00727246279046149 "Change Point" 0.625 0.1
0.7937314396484 0.00899857120062756 "Individual hi" 0.75 0.1
0.895715452363063 0.0073464617956017 "Change Point" 0.875 0.1
0.418772511420783 0.0103910227164231 "Individual hi" 1 0.1
0.22790588031129 0.00828696005727792 "Change Point" 1.125 0.1
0.329246350593749 0.0108596238080305 "Individual hi" 1.25 0.1
0.784148284055854 0.00892568377577149 "Change Point" 1.375 0.1
0.416224005461443 0.0104823906483732 "Individual hi" 1.5 0.1
0.647265622946639 0.00792776465641997 "Change Point" 1.625 0.1
0.334527078069957 0.00852803026400562 "Individual hi" 1.75 0.1
0.533670631897145 0.00682238634820169 "Change Point" 1.875 0.1
0.456955925889635 0.0117955200901853 "Individual hi" 2 0.1
0.770830225528857 0.00902156537581869 "Change Point" 2.125 0.1
0.454508190382237 0.00870584500387057 "Individual hi" 2.25 0.1
0.602313049428689 0.00673934734088493 "Change Point" 2.375 0.1
0.717025627687638 0.00787892315175084 "Individual hi" 2.5 0.1
0.63850912101107 0.00639750262585716 "Change Point" 2.625 0.1
0.886305173323549 0.00718557727387278 "Individual hi" 2.75 0.1
0.249052968305048 0.00585287437453405 "Change Point" 2.875 0.1
0.987751824921697 0.00978450893617948 "Individual hi" 3 0.1
0.360620527931504 0.00783704111520527 "Change Point" 3.5 0.1
0.237568715706404 0.00993392717444641 "Individual hi" 7.52083333333333 0.1
0.507919563007006 0.00778225863016801 "Change Point" 11.5416666666667 0.1
0.909524581177415 0.00921457522819615 "Individual hi" 15.5625 0.1
0.806361010732707 0.00687142767000462 "Change Point" 19.5833333333333 0.1
0.227932942157912 0.0085385780623112 "Individual hi" 23.6041666666667 0.1
0.329942664152968 0.00700464870087148 "Change Point" 27.625 0.1
0.717262898492207 0.00881462023019395 "Individual hi" 31.6458333333333 0.1
0.828389851372684 0.00698217291069477 "Change Point" 35.6666666666667 0.1
0.185880090218728 0.00976691468379801 "Individual hi" 39.6875 0.1
0.834615527186786 0.0078761355555112 "Change Point" 43.7083333333333 0.1
0.522928982705719 0.0104779712204663 "Individual hi" 47.7291666666667 0.1
0.512867226781297 0.00842035458569101 "Change Point" 51.75 0.1
0.631385217787135 0.012443455333631 "Individual hi" 55.7708333333333 0.1
0.623732563074106 0.0099412238998218 "Change Point" 59.7916666666667 0.1
0.932805072877696 0.00802200508719149 "Individual hi" 63.8125 0.1
0.990098783367492 0.00628083022257544 "Change Point" 67.8333333333333 0.1
0.15881309912555 0.00999157778254456 "Individual hi" 71.8541666666667 0.1
0.777559893655505 0.00790174896784175 "Change Point" 75.875 0.1
0.680209229872942 0.009085843709323 "Individual hi" 79.8958333333333 0.1
0.178012885051754 0.00735612825038998 "Change Point" 83.9166666666667 0.1
0.150966555098951 0.00858749007652115 "Individual hi" 87.9375 0.1
0.095527664947313 0.00664210161273035 "Change Point" 91.9583333333333 0.1
0.857863005222385 0.0118189645622681 "Individual hi" 95.9791666666667 0.1
0.390400150554715 0.00946620677551216 "Change Point" 100 0.1
0.00233094233131081 0.0508578097816538 "Individual hi" 0 0.5
