"pval" "Variance_hat" "Method" "delta" "sigma"
0.00687201219094139 0.00159585303355029 "Individual hi" 0 0.1
0.865610963437135 0.00603519571968938 "Change Point" 0.125 0.1
0.0142352439111166 0.00209765488587264 "Individual hi" 0.25 0.1
0.980347887055962 0.00740696125855445 "Change Point" 0.375 0.1
0.00140125929932933 0.00376739300382984 "Individual hi" 0.5 0.1
0.51330646499613 0.0176733781274472 "Change Point" 0.625 0.1
0.106839198279607 0.00469554752749589 "Individual hi" 0.75 0.1
0.317434246204778 0.0295628008053409 "Change Point" 0.875 0.1
0.0473291469437622 0.00525634520600544 "Individual hi" 1 0.1
0.434785690809476 0.0416853139863465 "Change Point" 1.125 0.1
0.0684882282096826 0.00448691137035404 "Individual hi" 1.25 0.1
0.133076202407302 0.0235340782467086 "Change Point" 1.375 0.1
0.462862114756134 0.00521739323536767 "Individual hi" 1.5 0.1
0.688788919277476 0.0257882201919073 "Change Point" 1.625 0.1
0.0540153337315454 0.00476659226448102 "Individual hi" 1.75 0.1
0.573026796655423 0.0122871435021435 "Change Point" 1.875 0.1
0.837582683811164 0.00593519926515123 "Individual hi" 2 0.1
0.420266194217605 0.0144684033880656 "Change Point" 2.125 0.1
0.0505193466551132 0.00640361613463674 "Individual hi" 2.25 0.1
0.51115873046813 0.0121545943815248 "Change Point" 2.375 0.1
0.873797444760993 0.00642834032014232 "Individual hi" 2.5 0.1
0.0948712572036779 0.0115129352066868 "Change Point" 2.625 0.1
0.818241063454453 0.00656485125933852 "Individual hi" 2.75 0.1
0.34323441176871 0.0079883054592846 "Change Point" 2.875 0.1
0.681225424860731 0.00716774817466397 "Individual hi" 3 0.1
0.785014446180715 0.00863169476855264 "Change Point" 3.5 0.1
0.241144066861098 0.00715208699546407 "Individual hi" 7.52083333333333 0.1
0.0648511716726526 0.00842419752145499 "Change Point" 11.5416666666667 0.1
0.168238566850511 0.00839791548567224 "Individual hi" 15.5625 0.1
0.156264316499057 0.00998112304160282 "Change Point" 19.5833333333333 0.1
0.899683005545737 0.00690145664411135 "Individual hi" 23.6041666666667 0.1
0.58284712197447 0.00715227236615739 "Change Point" 27.625 0.1
0.138411216898274 0.00758149382882142 "Individual hi" 31.6458333333333 0.1
0.0643588829670759 0.00766446251352466 "Change Point" 35.6666666666667 0.1
0.978986262929258 0.00764002242791226 "Individual hi" 39.6875 0.1
0.652325051986452 0.00767863600633839 "Change Point" 43.7083333333333 0.1
0.811850327582239 0.00624339341010529 "Individual hi" 47.7291666666667 0.1
0.338940040201827 0.00586349520558957 "Change Point" 51.75 0.1
0.728687301516725 0.00843367271587345 "Individual hi" 55.7708333333333 0.1
0.978324643350412 0.00822984242591946 "Change Point" 59.7916666666667 0.1
0.945062685108859 0.00815096915784772 "Individual hi" 63.8125 0.1
0.538953903495084 0.00750615485770882 "Change Point" 67.8333333333333 0.1
0.862682975624315 0.00853697564826626 "Individual hi" 71.8541666666667 0.1
0.574696003734481 0.00797617770768972 "Change Point" 75.875 0.1
0.977604935335756 0.00791012376817812 "Individual hi" 79.8958333333333 0.1
0.741134607443048 0.007270993215704 "Change Point" 83.9166666666667 0.1
0.0160167141870518 0.00857246699181543 "Individual hi" 87.9375 0.1
0.645363576412298 0.00799939836611837 "Change Point" 91.9583333333333 0.1
0.67710193631294 0.00901205025938289 "Individual hi" 95.9791666666667 0.1
0.345065019402498 0.00819575809289332 "Change Point" 100 0.1
0.911178036633405 0.00833736968330598 "Individual hi" 0 0.1
0.965161495333996 0.00737934372355578 "Change Point" 0.125 0.1
0.666781357473354 0.0102941088644849 "Individual hi" 0.25 0.1
0.845230835640285 0.00804488191032034 "Change Point" 0.375 0.1
0.07930700180224 0.00937937851502928 "Individual hi" 0.5 0.1
0.131833150384732 0.00732965046746856 "Change Point" 0.625 0.1
0.847339417827112 0.010531226069083 "Individual hi" 0.75 0.1
0.0412257951070443 0.00809186201947247 "Change Point" 0.875 0.1
0.831298699628938 0.00792712146817732 "Individual hi" 1 0.1
0.767951799368075 0.00629072737162943 "Change Point" 1.125 0.1
0.948361529640393 0.00955374666798683 "Individual hi" 1.25 0.1
0.651779346543503 0.00797465932572871 "Change Point" 1.375 0.1
