"pval" "Variance_hat" "Method" "delta" "sigma"
8.34205847901507e-05 0.001370482882417 "Individual hi" 0 0.1
0.677179477727751 0.00584090485214437 "Change Point" 0.125 0.1
0.00013797736245517 0.00247376703363346 "Individual hi" 0.25 0.1
0.575191725490455 0.0083649616205273 "Change Point" 0.375 0.1
6.44974357244697e-05 0.00278495126374367 "Individual hi" 0.5 0.1
0.391725671231367 0.0146492890729766 "Change Point" 0.625 0.1
0.00141969202419248 0.0059676699734808 "Individual hi" 0.75 0.1
0.879540691289643 0.0299212596151862 "Change Point" 0.875 0.1
0.0661897807176948 0.00379085197819394 "Individual hi" 1 0.1
0.47594973477356 0.02411357376041 "Change Point" 1.125 0.1
0.0333105114677808 0.00414421969309497 "Individual hi" 1.25 0.1
0.643237435407923 0.0202316457814073 "Change Point" 1.375 0.1
0.145526972911834 0.00642906718986352 "Individual hi" 1.5 0.1
0.532347563656432 0.028176122560342 "Change Point" 1.625 0.1
0.0054884638597883 0.00569596882614787 "Individual hi" 1.75 0.1
0.931206818958894 0.0156236615321359 "Change Point" 1.875 0.1
0.409181694077175 0.00502554699553464 "Individual hi" 2 0.1
0.838828652647816 0.00894666084508382 "Change Point" 2.125 0.1
0.330206187059434 0.00593218596683452 "Individual hi" 2.25 0.1
0.137586462961765 0.0128452078362828 "Change Point" 2.375 0.1
0.469107190528574 0.00642453980336868 "Individual hi" 2.5 0.1
0.651617493444979 0.0118766611795685 "Change Point" 2.625 0.1
0.983716754920391 0.00620613609565736 "Individual hi" 2.75 0.1
0.351775481972916 0.00790250659718999 "Change Point" 2.875 0.1
0.299774047323072 0.00547334358869713 "Individual hi" 3 0.1
0.274986600852215 0.00602064632081716 "Change Point" 3.5 0.1
0.153504133510306 0.00807243766568128 "Individual hi" 7.52083333333333 0.1
0.913029608312404 0.00987279222357187 "Change Point" 11.5416666666667 0.1
0.378019299168409 0.00835602195283999 "Individual hi" 15.5625 0.1
0.211209951197097 0.00925479580816251 "Change Point" 19.5833333333333 0.1
0.461416916590156 0.00834436497270522 "Individual hi" 23.6041666666667 0.1
