"pval" "Variance_hat" "Method" "delta" "sigma"
0.000209657834485242 0.00202177935807237 "Individual hi" 0 0.1
0.376485026475955 0.00703563165304495 "Change Point" 0.125 0.1
0.205377285875451 0.00260331186149231 "Individual hi" 0.25 0.1
0.0670131197881191 0.00767736384958749 "Change Point" 0.375 0.1
0.00657220313254938 0.00423049512353475 "Individual hi" 0.5 0.1
0.325721427710036 0.0166658848947669 "Change Point" 0.625 0.1
0.0275584657502006 0.00435584145771569 "Individual hi" 0.75 0.1
0.286403469952198 0.0259773219123737 "Change Point" 0.875 0.1
0.0207508601229716 0.00567797473711547 "Individual hi" 1 0.1
0.623646983834175 0.0421957429243688 "Change Point" 1.125 0.1
0.270308805216653 0.00458585214503393 "Individual hi" 1.25 0.1
0.890923267705261 0.0292809474763653 "Change Point" 1.375 0.1
0.852216503328947 0.0051027462483675 "Individual hi" 1.5 0.1
0.270942518234878 0.0256383127271503 "Change Point" 1.625 0.1
0.492866084490259 0.0055817658932162 "Individual hi" 1.75 0.1
0.00281684900516839 0.019088479784818 "Change Point" 1.875 0.1
0.198671238893908 0.00565726558809876 "Individual hi" 2 0.1
0.829497718846381 0.0160002196498733 "Change Point" 2.125 0.1
0.801083235092775 0.00607058043484225 "Individual hi" 2.25 0.1
0.255704168282421 0.0127997756994808 "Change Point" 2.375 0.1
0.95210092239431 0.00693774533420135 "Individual hi" 2.5 0.1
0.469230231417691 0.0122986600078741 "Change Point" 2.625 0.1
0.0162840907380512 0.00683117118167272 "Individual hi" 2.75 0.1
0.815574107546351 0.00968567639819299 "Change Point" 2.875 0.1
0.569112316848757 0.00675699610191035 "Individual hi" 3 0.1
0.720518272779983 0.00819764791040642 "Change Point" 3.5 0.1
0.651512381203847 0.00614608187096842 "Individual hi" 7.52083333333333 0.1
0.361169971845322 0.0066556642801554 "Change Point" 11.5416666666667 0.1
0.0607980655772498 0.00929255158951758 "Individual hi" 15.5625 0.1
0.591289131828883 0.0110865876330324 "Change Point" 19.5833333333333 0.1
